,Data Value,Type,Location,Time Period
2200,6.9,Fine particles (PM 2.5),Brooklyn,Winter 2020-21
2201,6.9,Fine particles (PM 2.5),South Beach and Willowbrook (CD2),Annual Average 2016
2202,6.9,Fine particles (PM 2.5),Southeast Queens,Winter 2015-16
2203,6.9,Fine particles (PM 2.5),Jamaica,Winter 2018-19
2204,6.9,Fine particles (PM 2.5),Canarsie - Flatlands,Winter 2019-20
2205,6.9,Fine particles (PM 2.5),Bayside Little Neck-Fresh Meadows,Winter 2018-19
2206,6.9,Fine particles (PM 2.5),Bayside - Little Neck,Winter 2018-19
2207,6.9,Fine particles (PM 2.5),Brooklyn,Summer 2020
2208,6.9,Fine particles (PM 2.5),Rockaways,Summer 2016
2209,6.9,Fine particles (PM 2.5),Queens Village (CD13),Winter 2015-16
2210,6.9,Fine particles (PM 2.5),Southeast Queens,Winter 2015-16
2211,6.9,Fine particles (PM 2.5),Ridgewood - Forest Hills,Summer 2020
2212,6.9,Fine particles (PM 2.5),Southwest Queens,Annual Average 2017
2213,6.9,Fine particles (PM 2.5),Coney Island (CD13),Winter 2015-16
2214,6.9,Fine particles (PM 2.5),East Flatbush - Flatbush,Winter 2018-19
2215,6.9,Fine particles (PM 2.5),Bay Ridge and Dyker Heights (CD10),Winter 2021-22
2216,6.9,Fine particles (PM 2.5),Bedford Stuyvesant - Crown Heights,Winter 2021-22
2217,6.9,Fine particles (PM 2.5),Borough Park (CD12),Winter 2021-22
2218,6.9,Fine particles (PM 2.5),Rockaways,Summer 2016
2219,6.9,Fine particles (PM 2.5),Throgs Neck and Co-op City (CD10),Summer 2022
2220,6.9,Fine particles (PM 2.5),Hillcrest and Fresh Meadows (CD8),Winter 2018-19
2221,6.9,Fine particles (PM 2.5),Morningside Heights and Hamilton Heights (CD9),Annual Average 2019
2222,6.9,Nitrogen dioxide (NO2),South Beach - Tottenville,Summer 2022
2223,6.9,Fine particles (PM 2.5),Jamaica,Winter 2018-19
2224,6.9,Fine particles (PM 2.5),Bayside Little Neck-Fresh Meadows,Annual Average 2016
2225,6.9,Fine particles (PM 2.5),Elmhurst and Corona (CD4),Annual Average 2019
2226,6.9,Fine particles (PM 2.5),Tottenville and Great Kills (CD3),Winter 2016-17
2227,6.9,Fine particles (PM 2.5),Queens,Summer 2020
2228,6.9,Fine particles (PM 2.5),East New York,Summer 2020
2229,6.9,Fine particles (PM 2.5),Jackson Heights (CD3),Annual Average 2018
2230,6.9,Annual vehicle miles traveled (trucks),Fordham and University Heights (CD5),2005
2231,6.9,Fine particles (PM 2.5),Port Richmond,Winter 2018-19
2232,6.9,Fine particles (PM 2.5),Washington Heights,Annual Average 2021
2233,6.9,Fine particles (PM 2.5),Downtown - Heights - Slope,Summer 2022
2234,7.0,Fine particles (PM 2.5),Jamaica,Annual Average 2016
2235,7.0,Fine particles (PM 2.5),Borough Park,Annual Average 2018
2236,7.0,Fine particles (PM 2.5),Pelham - Throgs Neck,Summer 2022
2237,7.0,Cardiovascular hospitalizations due to PM2.5 (age 40+),West Queens,2017-2019
2238,7.0,Asthma hospitalizations due to Ozone,Crotona -Tremont,2017-2019
2239,7.0,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,Winter 2019-20
2240,7.0,Fine particles (PM 2.5),Long Island City and Astoria (CD1),Summer 2022
2241,7.0,Fine particles (PM 2.5),Kingsbridge - Riverdale,Annual Average 2018
2242,7.0,Cardiovascular hospitalizations due to PM2.5 (age 40+),Ridgewood - Forest Hills,2017-2019
2243,7.0,Fine particles (PM 2.5),Canarsie - Flatlands,Annual Average 2017
2244,7.0,Fine particles (PM 2.5),Borough Park (CD12),Winter 2018-19
2245,7.0,Asthma hospitalizations due to Ozone,Fordham - Bronx Pk,2017-2019
2246,7.0,Fine particles (PM 2.5),Flatlands and Canarsie (CD18),Annual Average 2017
2247,7.0,Nitrogen dioxide (NO2),Rockaways,Summer 2022
2248,7.0,Fine particles (PM 2.5),Riverdale and Fieldston (CD8),Annual Average 2018
2249,7.0,Fine particles (PM 2.5),Highbridge and Concourse (CD4),Winter 2021-22
2250,7.0,Fine particles (PM 2.5),Hunts Point - Mott Haven,Annual Average 2021
2251,7.0,Fine particles (PM 2.5),Ridgewood - Forest Hills,Annual Average 2018
2252,7.0,Fine particles (PM 2.5),Kingsbridge - Riverdale,Annual Average 2018
2253,7.0,Fine particles (PM 2.5),Ridgewood - Forest Hills,Annual Average 2018
2254,7.0,Asthma hospitalizations due to Ozone,Bronx,2017-2019
2255,7.0,Fine particles (PM 2.5),Borough Park,Annual Average 2018
2256,7.0,Asthma emergency departments visits due to Ozone,Greenwich Village - SoHo,2017-2019
2257,7.0,Fine particles (PM 2.5),Sunset Park (CD7),Annual Average 2021
2258,7.0,Cardiovascular hospitalizations due to PM2.5 (age 40+),Gramercy Park - Murray Hill,2017-2019
2259,7.0,Fine particles (PM 2.5),Canarsie - Flatlands,Annual Average 2017
2260,7.0,Nitrogen dioxide (NO2),Rockaways,Summer 2015
2261,7.0,Fine particles (PM 2.5),Brownsville (CD16),Summer 2020
2262,7.0,Fine particles (PM 2.5),Flushing and Whitestone (CD7),Winter 2021-22
2263,7.0,Boiler Emissions- Total PM2.5 Emissions,Upper West Side,2015
2264,7.0,Fine particles (PM 2.5),Williamsbridge and Baychester (CD12),Annual Average 2018
2265,7.0,Nitrogen dioxide (NO2),Rockaways,Summer 2022
2266,7.0,Fine particles (PM 2.5),Williamsburg - Bushwick,Summer 2022
2267,7.0,Fine particles (PM 2.5),Upper East Side (CD8),Annual Average 2021
2268,7.0,Fine particles (PM 2.5),Pelham - Throgs Neck,Annual Average 2018
2269,7.0,Fine particles (PM 2.5),Sunset Park,Annual Average 2021
2270,7.0,Fine particles (PM 2.5),Upper East Side,Annual Average 2021
2271,7.0,Fine particles (PM 2.5),Southwest Queens,Annual Average 2016
2272,7.0,Fine particles (PM 2.5),Williamsburg - Bushwick,Summer 2022
2273,7.0,Fine particles (PM 2.5),Coney Island (CD13),Winter 2019-20
2274,7.0,Fine particles (PM 2.5),Rockaways,Winter 2017-18
2275,7.0,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,Winter 2015-16
2276,7.0,Fine particles (PM 2.5),Sunset Park,Annual Average 2021
2277,7.0,Fine particles (PM 2.5),Bay Ridge and Dyker Heights (CD10),Winter 2018-19
2278,7.0,Fine particles (PM 2.5),Greenpoint,Annual Average 2020
2279,7.0,Fine particles (PM 2.5),East Harlem,Winter 2021-22
2280,7.0,Fine particles (PM 2.5),Upper West Side,Summer 2022
2281,7.0,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,Winter 2015-16
2282,7.0,Fine particles (PM 2.5),Bayside - Little Neck,Annual Average 2017
2283,7.0,Annual vehicle miles traveled (trucks),Lower East Side and Chinatown (CD3),2019
2284,7.0,Fine particles (PM 2.5),Southwest Queens,Annual Average 2016
2285,7.0,Fine particles (PM 2.5),East Flatbush - Flatbush,Annual Average 2018
2286,7.0,Fine particles (PM 2.5),East Flatbush - Flatbush,Annual Average 2018
2287,7.0,Fine particles (PM 2.5),Bedford Stuyvesant - Crown Heights,Summer 2020
2288,7.0,Fine particles (PM 2.5),Southern SI,Winter 2016-17
2289,7.0,Fine particles (PM 2.5),South Crown Heights and Lefferts Gardens (CD9),Winter 2018-19
2290,7.0,Fine particles (PM 2.5),Bensonhurst (CD11),Annual Average 2017
2291,7.0,Fine particles (PM 2.5),Bensonhurst (CD11),Annual Average 2016
2292,7.0,Fine particles (PM 2.5),Rockaway and Broad Channel (CD14),Summer 2019
2293,7.0,Fine particles (PM 2.5),Willowbrook,Winter 2019-20
2294,7.0,Fine particles (PM 2.5),Central Harlem (CD10),Annual Average 2019
2295,7.0,Fine particles (PM 2.5),Bedford Stuyvesant - Crown Heights,Summer 2020
2296,7.0,Fine particles (PM 2.5),Rockaways,Summer 2019
2297,7.0,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,Winter 2019-20
2298,7.0,Fine particles (PM 2.5),Bayside and Little Neck (CD11),Annual Average 2017
2299,7.0,Asthma hospitalizations due to Ozone,Gramercy Park - Murray Hill,2017-2019
2300,7.0,Fine particles (PM 2.5),Northern SI,Annual Average 2016
2301,7.0,Fine particles (PM 2.5),East Harlem,Summer 2022
2302,7.0,Fine particles (PM 2.5),Bronx,Winter 2019-20
2303,7.0,Asthma hospitalizations due to Ozone,Sunset Park,2017-2019
2304,7.0,Fine particles (PM 2.5),East New York and Starrett City (CD5),Annual Average 2018
2305,7.0,Fine particles (PM 2.5),New York City,Summer 2020
2306,7.0,Fine particles (PM 2.5),Pelham - Throgs Neck,Annual Average 2018
2307,7.0,Fine particles (PM 2.5),Jamaica and Hollis (CD12),Annual Average 2016
2308,7.0,Asthma emergency departments visits due to Ozone,Bayside - Little Neck,2015-2017
2309,7.0,Fine particles (PM 2.5),Rockaway and Broad Channel (CD14),Winter 2017-18
2310,7.0,Fine particles (PM 2.5),East Harlem (CD11),Winter 2021-22
2311,7.0,Fine particles (PM 2.5),Greenpoint,Annual Average 2020
2312,7.0,Fine particles (PM 2.5),Jamaica,Annual Average 2016
2313,7.0,Asthma hospitalizations due to Ozone,Pelham - Throgs Neck,2015-2017
2314,7.0,Fine particles (PM 2.5),Jackson Heights (CD3),Winter 2021-22
2315,7.0,Nitrogen dioxide (NO2),Rockaways,Summer 2015
2316,7.0,Fine particles (PM 2.5),Sheepshead Bay (CD15),Winter 2019-20
2317,7.0,Fine particles (PM 2.5),Upper West Side,Summer 2022
2318,7.0,Fine particles (PM 2.5),Hillcrest and Fresh Meadows (CD8),Annual Average 2016
2319,7.0,Fine particles (PM 2.5),New York City,Annual Average 2018
2320,7.0,Fine particles (PM 2.5),Fort Greene and Brooklyn Heights (CD2),Summer 2022
2321,7.0,Fine particles (PM 2.5),Crown Heights and Prospect Heights (CD8),Summer 2020
2322,7.0,Fine particles (PM 2.5),Rego Park and Forest Hills (CD6),Annual Average 2018
2323,7.0,Fine particles (PM 2.5),Bayside Little Neck-Fresh Meadows,Annual Average 2017
2324,7.0,Fine particles (PM 2.5),East Harlem,Winter 2021-22
2325,7.0,Respiratory hospitalizations due to PM2.5 (age 20+),Union Square - Lower East Side,2017-2019
2326,7.0,Fine particles (PM 2.5),Manhattan,Annual Average 2022
2327,7.0,Respiratory hospitalizations due to PM2.5 (age 20+),Brooklyn,2017-2019
2328,7.0,Fine particles (PM 2.5),Central Harlem - Morningside Heights,Annual Average 2019
2329,7.0,Fine particles (PM 2.5),Northeast Bronx,Annual Average 2018
2330,7.0,Asthma hospitalizations due to Ozone,New York City,2009-2011
2331,7.0,Asthma emergency department visits due to PM2.5,South Beach - Tottenville,2017-2019
2332,7.0,Respiratory hospitalizations due to PM2.5 (age 20+),New York City,2017-2019
2333,7.0,Fine particles (PM 2.5),Flatbush and Midwood (CD14),Annual Average 2018
2334,7.0,Fine particles (PM 2.5),Rockaways,Summer 2019
2335,7.0,Fine particles (PM 2.5),Bedford Stuyvesant (CD3),Winter 2020-21
2336,7.0,Fine particles (PM 2.5),Northeast Bronx,Annual Average 2018
2337,7.0,Fine particles (PM 2.5),Fresh Meadows,Annual Average 2016
2338,7.0,Cardiovascular hospitalizations due to PM2.5 (age 40+),Lower Manhattan,2017-2019
2339,7.0,Fine particles (PM 2.5),Ridgewood and Maspeth (CD5),Annual Average 2019
2340,7.0,Fine particles (PM 2.5),Woodside and Sunnyside (CD2),Annual Average 2020
2341,7.0,Fine particles (PM 2.5),Rockaways,Winter 2017-18
2342,7.0,Respiratory hospitalizations due to PM2.5 (age 20+),Bayside - Little Neck,2012-2014
2343,7.0,Fine particles (PM 2.5),Central Harlem - Morningside Heights,Annual Average 2019
2344,7.0,Cardiovascular hospitalizations due to PM2.5 (age 40+),Upper East Side,2017-2019
2345,7.0,Cardiac and respiratory deaths due to Ozone,Willowbrook,2017-2019
2346,7.0,Fine particles (PM 2.5),Upper West Side (CD7),Summer 2022
2347,7.0,Fine particles (PM 2.5),St. George and Stapleton (CD1),Annual Average 2017
2348,7.0,Cardiac and respiratory deaths due to Ozone,Staten Island,2017-2019
2349,7.0,Fine particles (PM 2.5),Pelham - Throgs Neck,Summer 2022
2350,7.0,Cardiac and respiratory deaths due to Ozone,South Beach - Tottenville,2017-2019
2351,7.0,Fine particles (PM 2.5),East Flatbush (CD17),Winter 2018-19
2352,7.0,Fine particles (PM 2.5),Ridgewood and Maspeth (CD5),Annual Average 2021
2353,7.0,Fine particles (PM 2.5),East Harlem,Summer 2022
2354,7.1,Fine particles (PM 2.5),Park Slope and Carroll Gardens (CD6),Annual Average 2021
2355,7.1,Fine particles (PM 2.5),Crown Heights and Prospect Heights (CD8),Winter 2021-22
2356,7.1,Fine particles (PM 2.5),High Bridge - Morrisania,Winter 2019-20
2357,7.1,Fine particles (PM 2.5),Central Harlem - Morningside Heights,Summer 2022
2358,7.1,Fine particles (PM 2.5),Stapleton - St. George,Winter 2016-17
2359,7.1,Fine particles (PM 2.5),Southeast Queens,Summer 2016
2360,7.1,Fine particles (PM 2.5),High Bridge - Morrisania,Winter 2021-22
2361,7.1,Fine particles (PM 2.5),Parkchester and Soundview (CD9),Annual Average 2018
2362,7.1,Fine particles (PM 2.5),Elmhurst and Corona (CD4),Summer 2020
2363,7.1,Fine particles (PM 2.5),Kingsbridge - Riverdale,Summer 2022
2364,7.1,Fine particles (PM 2.5),High Bridge - Morrisania,Summer 2022
2365,7.1,Fine particles (PM 2.5),Jamaica,Annual Average 2017
2366,7.1,Fine particles (PM 2.5),Morris Park and Bronxdale (CD11),Annual Average 2018
2367,7.1,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Annual Average 2016
2368,7.1,Fine particles (PM 2.5),South Beach - Tottenville,Winter 2015-16
2369,7.1,Fine particles (PM 2.5),Flatlands and Canarsie (CD18),Annual Average 2016
2370,7.1,Fine particles (PM 2.5),Queens,Winter 2018-19
2371,7.1,Fine particles (PM 2.5),Canarsie - Flatlands,Annual Average 2016
2372,7.1,Fine particles (PM 2.5),Upper East Side,Summer 2022
2373,7.1,Fine particles (PM 2.5),Upper East Side (CD8),Summer 2022
2374,7.1,Annual vehicle miles traveled (trucks),Upper East Side,2019
2375,7.1,Fine particles (PM 2.5),Queens Village (CD13),Summer 2016
2376,7.1,Fine particles (PM 2.5),Pelham - Throgs Neck,Summer 2020
2377,7.1,Fine particles (PM 2.5),Northeast Bronx,Summer 2022
2378,7.1,Fine particles (PM 2.5),Jackson Heights (CD3),Summer 2020
2379,7.1,Fine particles (PM 2.5),Washington Heights,Annual Average 2019
2380,7.1,Fine particles (PM 2.5),Central Harlem - Morningside Heights,Winter 2021-22
2381,7.1,Fine particles (PM 2.5),Downtown - Heights - Slope,Annual Average 2021
2382,7.1,Fine particles (PM 2.5),Sheepshead Bay (CD15),Winter 2015-16
2383,7.1,Fine particles (PM 2.5),West Queens,Winter 2021-22
2384,7.1,Fine particles (PM 2.5),Willowbrook,Annual Average 2016
2385,7.1,Fine particles (PM 2.5),Kingsbridge - Riverdale,Summer 2022
2386,7.1,Fine particles (PM 2.5),Canarsie - Flatlands,Annual Average 2016
2387,7.1,Fine particles (PM 2.5),Bushwick (CD4),Annual Average 2019
2388,7.1,Fine particles (PM 2.5),Southeast Queens,Summer 2016
2389,7.1,Fine particles (PM 2.5),Upper East Side (CD8),Winter 2021-22
2390,7.1,Fine particles (PM 2.5),Pelham - Throgs Neck,Summer 2020
2391,7.1,Fine particles (PM 2.5),South Crown Heights and Lefferts Gardens (CD9),Annual Average 2018
2392,7.1,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Annual Average 2017
2393,7.1,Fine particles (PM 2.5),Riverdale and Fieldston (CD8),Summer 2022
2394,7.1,Fine particles (PM 2.5),Upper East Side,Winter 2020-21
2395,7.1,Fine particles (PM 2.5),Williamsbridge and Baychester (CD12),Winter 2018-19
2396,7.1,Fine particles (PM 2.5),Staten Island,Winter 2016-17
2397,7.1,Asthma hospitalizations due to Ozone,Willowbrook,2012-2014
2398,7.1,Fine particles (PM 2.5),Fordham - Bronx Pk,Summer 2022
2399,7.1,Fine particles (PM 2.5),Flushing - Clearview,Summer 2020
2400,7.1,Fine particles (PM 2.5),Parkchester and Soundview (CD9),Summer 2022
2401,7.1,Fine particles (PM 2.5),Borough Park (CD12),Annual Average 2018
2402,7.1,Fine particles (PM 2.5),Willowbrook,Annual Average 2017
2403,7.1,Fine particles (PM 2.5),Downtown - Heights - Slope,Annual Average 2021
2404,7.1,Fine particles (PM 2.5),Highbridge and Concourse (CD4),Summer 2022
2405,7.1,Fine particles (PM 2.5),Bronx,Summer 2022
2406,7.1,Fine particles (PM 2.5),Washington Heights,Annual Average 2019
2407,7.1,Fine particles (PM 2.5),Williamsbridge and Baychester (CD12),Summer 2022
2408,7.1,Fine particles (PM 2.5),West Queens,Annual Average 2021
2409,7.1,Fine particles (PM 2.5),Central Harlem - Morningside Heights,Winter 2021-22
2410,7.1,Fine particles (PM 2.5),Fort Greene and Brooklyn Heights (CD2),Annual Average 2021
2411,7.1,Fine particles (PM 2.5),Highbridge and Concourse (CD4),Winter 2019-20
2412,7.1,Fine particles (PM 2.5),East Harlem (CD11),Annual Average 2019
2413,7.1,Fine particles (PM 2.5),St. George and Stapleton (CD1),Annual Average 2016
2414,7.1,Fine particles (PM 2.5),Fresh Meadows,Annual Average 2017
2415,7.1,Asthma hospitalizations due to Ozone,New York City,2005-2007
2416,7.1,Fine particles (PM 2.5),Lower Manhattan,Annual Average 2022
2417,7.1,Fine particles (PM 2.5),Central Harlem (CD10),Summer 2022
2418,7.1,Fine particles (PM 2.5),Northeast Bronx,Summer 2022
2419,7.1,Fine particles (PM 2.5),Hillcrest and Fresh Meadows (CD8),Annual Average 2017
2420,7.1,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Annual Average 2016
2421,7.1,Fine particles (PM 2.5),Bedford Stuyvesant (CD3),Summer 2020
2422,7.1,Fine particles (PM 2.5),Morris Park and Bronxdale (CD11),Summer 2022
2423,7.1,Fine particles (PM 2.5),Jamaica,Annual Average 2017
2424,7.1,Fine particles (PM 2.5),East Harlem,Annual Average 2019
2425,7.1,Fine particles (PM 2.5),Morningside Heights and Hamilton Heights (CD9),Winter 2021-22
2426,7.1,Asthma hospitalizations due to Ozone,Canarsie - Flatlands,2009-2011
2427,7.1,Fine particles (PM 2.5),Fordham - Bronx Pk,Summer 2022
2428,7.1,Fine particles (PM 2.5),Long Island City and Astoria (CD1),Winter 2021-22
2429,7.1,Fine particles (PM 2.5),East Flatbush (CD17),Annual Average 2018
2430,7.1,Fine particles (PM 2.5),Upper East Side-Gramercy,Annual Average 2022
2431,7.1,Fine particles (PM 2.5),Morningside Heights and Hamilton Heights (CD9),Summer 2022
2432,7.1,Fine particles (PM 2.5),East New York,Annual Average 2018
2433,7.1,Fine particles (PM 2.5),West Queens,Annual Average 2021
2434,7.1,Fine particles (PM 2.5),Fordham and University Heights (CD5),Summer 2022
2435,7.1,Fine particles (PM 2.5),East New York and Starrett City (CD5),Winter 2018-19
2436,7.1,Fine particles (PM 2.5),Bushwick (CD4),Winter 2020-21
2437,7.1,Fine particles (PM 2.5),Upper East Side,Winter 2021-22
2438,7.1,Fine particles (PM 2.5),Bedford Stuyvesant (CD3),Winter 2021-22
2439,7.1,Fine particles (PM 2.5),Kew Gardens and Woodhaven (CD9),Winter 2018-19
2440,7.1,Fine particles (PM 2.5),Flushing - Clearview,Summer 2020
2441,7.1,Fine particles (PM 2.5),Throgs Neck and Co-op City (CD10),Summer 2020
2442,7.1,Fine particles (PM 2.5),Elmhurst and Corona (CD4),Winter 2021-22
2443,7.1,Fine particles (PM 2.5),Mott Haven and Melrose (CD1),Winter 2021-22
2444,7.1,Fine particles (PM 2.5),Greenpoint and Williamsburg (CD1),Annual Average 2020
2445,7.1,Fine particles (PM 2.5),East Harlem,Annual Average 2019
2446,7.1,Fine particles (PM 2.5),East Harlem (CD11),Summer 2022
2447,7.1,Fine particles (PM 2.5),Central Harlem - Morningside Heights,Summer 2022
2448,7.1,Fine particles (PM 2.5),Jamaica and Hollis (CD12),Annual Average 2017
2449,7.1,Fine particles (PM 2.5),Hunts Point - Mott Haven,Winter 2020-21
2450,7.1,Fine particles (PM 2.5),High Bridge - Morrisania,Annual Average 2019
2451,7.1,Fine particles (PM 2.5),Riverdale and Fieldston (CD8),Winter 2018-19
2452,7.1,Fine particles (PM 2.5),East New York,Annual Average 2018
2453,7.1,Fine particles (PM 2.5),West Queens,Winter 2021-22
2454,7.1,Fine particles (PM 2.5),Flushing and Whitestone (CD7),Summer 2020
2455,7.1,Fine particles (PM 2.5),Upper East Side (CD8),Winter 2020-21
2456,7.1,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Annual Average 2017
2457,7.2,Fine particles (PM 2.5),Queens Village (CD13),Summer 2019
2458,7.2,Fine particles (PM 2.5),Brooklyn,Annual Average 2018
2459,7.2,Fine particles (PM 2.5),Williamsbridge and Baychester (CD12),Summer 2020
2460,7.2,Fine particles (PM 2.5),Northeast Bronx,Winter 2018-19
2461,7.2,Fine particles (PM 2.5),South Bronx,Summer 2022
2462,7.2,Fine particles (PM 2.5),Queens Village (CD13),Winter 2019-20
2463,7.2,Fine particles (PM 2.5),Flushing - Clearview,Annual Average 2016
2464,7.2,Fine particles (PM 2.5),Riverdale and Fieldston (CD8),Winter 2021-22
2465,7.2,Fine particles (PM 2.5),Rego Park and Forest Hills (CD6),Winter 2018-19
2466,7.2,Fine particles (PM 2.5),Williamsburg - Bushwick,Annual Average 2021
2467,7.2,Nitrogen dioxide (NO2),Rockaway and Broad Channel (CD14),Summer 2019
2468,7.2,Fine particles (PM 2.5),Crotona -Tremont,Summer 2022
2469,7.2,Fine particles (PM 2.5),Greenpoint,Summer 2022
2470,7.2,Fine particles (PM 2.5),Brownsville (CD16),Winter 2018-19
2471,7.2,Fine particles (PM 2.5),Ridgewood and Maspeth (CD5),Summer 2020
2472,7.2,Fine particles (PM 2.5),Kingsbridge - Riverdale,Winter 2021-22
2473,7.2,Fine particles (PM 2.5),Northeast Bronx,Summer 2020
2474,7.2,Cardiac and respiratory deaths due to Ozone,Bensonhurst - Bay Ridge,2009-2011
2475,7.2,Fine particles (PM 2.5),Fort Greene and Brooklyn Heights (CD2),Annual Average 2019
2476,7.2,Cardiac and respiratory deaths due to Ozone,South Beach - Tottenville,2012-2014
2477,7.2,Fine particles (PM 2.5),South Bronx,Winter 2021-22
2478,7.2,Fine particles (PM 2.5),Fordham - Bronx Pk,Summer 2020
2479,7.2,Fine particles (PM 2.5),Kingsbridge - Riverdale,Summer 2020
2480,7.2,Fine particles (PM 2.5),Kingsbridge - Riverdale,Summer 2020
2481,7.2,Asthma hospitalizations due to Ozone,South Beach - Tottenville,2009-2011
2482,7.2,Fine particles (PM 2.5),Flushing - Clearview,Annual Average 2016
2483,7.2,Fine particles (PM 2.5),Williamsburg - Bushwick,Annual Average 2021
2484,7.2,Fine particles (PM 2.5),Kingsbridge - Riverdale,Winter 2021-22
2485,7.2,Fine particles (PM 2.5),Morrisania and Crotona (CD3),Winter 2019-20
2486,7.2,Fine particles (PM 2.5),Rockaway and Broad Channel (CD14),Summer 2021
2487,7.2,Fine particles (PM 2.5),Flushing - Clearview,Winter 2018-19
2488,7.2,Fine particles (PM 2.5),St. George and Stapleton (CD1),Winter 2016-17
2489,7.2,Fine particles (PM 2.5),Lower East Side and Chinatown (CD3),Annual Average 2022
2490,7.2,Fine particles (PM 2.5),Southeast Queens,Summer 2019
2491,7.2,Fine particles (PM 2.5),Southeast Queens,Winter 2019-20
2492,7.2,Annual vehicle miles traveled (trucks),Greenpoint,2019
2493,7.2,Fine particles (PM 2.5),Northeast Bronx,Winter 2018-19
2494,7.2,Fine particles (PM 2.5),Washington Heights,Summer 2022
2495,7.2,Fine particles (PM 2.5),Ridgewood and Maspeth (CD5),Winter 2020-21
2496,7.2,Fine particles (PM 2.5),Jackson Heights (CD3),Annual Average 2017
2497,7.2,Fine particles (PM 2.5),Fordham - Bronx Pk,Summer 2020
2498,7.2,Fine particles (PM 2.5),Rockaways,Annual Average 2015
2499,7.2,Fine particles (PM 2.5),East New York,Winter 2018-19
2500,7.2,Fine particles (PM 2.5),Stapleton - St. George,Winter 2019-20
2501,7.2,Fine particles (PM 2.5),Port Richmond,Annual Average 2017
2502,7.2,Fine particles (PM 2.5),Morrisania and Crotona (CD3),Summer 2022
2503,7.2,Fine particles (PM 2.5),Highbridge and Concourse (CD4),Summer 2020
2504,7.2,Fine particles (PM 2.5),Upper West Side,Summer 2020
2505,7.2,Fine particles (PM 2.5),Riverdale and Fieldston (CD8),Summer 2020
2506,7.2,Fine particles (PM 2.5),Rockaways,Summer 2021
2507,7.2,Fine particles (PM 2.5),Bedford Stuyvesant - Crown Heights,Winter 2018-19
2508,7.2,Fine particles (PM 2.5),Washington Heights and Inwood (CD12),Summer 2022
2509,7.2,Fine particles (PM 2.5),Long Island City - Astoria,Annual Average 2021
2510,7.2,Fine particles (PM 2.5),Fordham - Bronx Pk,Winter 2018-19
2511,7.2,Fine particles (PM 2.5),Rockaway and Broad Channel (CD14),Annual Average 2015
2512,7.2,Fine particles (PM 2.5),Kingsbridge - Riverdale,Winter 2018-19
2513,7.2,Fine particles (PM 2.5),Northern SI,Winter 2016-17
2514,7.2,Fine particles (PM 2.5),Fordham - Bronx Pk,Annual Average 2018
2515,7.2,Fine particles (PM 2.5),Southeast Queens,Winter 2019-20
2516,7.2,Fine particles (PM 2.5),Bedford Stuyvesant (CD3),Winter 2018-19
2517,7.2,Fine particles (PM 2.5),Rockaways,Annual Average 2015
2518,7.2,Fine particles (PM 2.5),Manhattan,Annual Average 2020
2519,7.2,Fine particles (PM 2.5),Fordham - Bronx Pk,Winter 2018-19
2520,7.2,Fine particles (PM 2.5),South Beach and Willowbrook (CD2),Winter 2016-17
2521,7.2,Fine particles (PM 2.5),Long Island City and Astoria (CD1),Annual Average 2019
2522,7.2,Fine particles (PM 2.5),Bedford Stuyvesant - Crown Heights,Winter 2018-19
2523,7.2,Fine particles (PM 2.5),Parkchester and Soundview (CD9),Summer 2020
2524,7.2,Fine particles (PM 2.5),Washington Heights and Inwood (CD12),Annual Average 2019
2525,7.2,Fine particles (PM 2.5),Crotona -Tremont,Annual Average 2019
2526,7.2,Fine particles (PM 2.5),Morris Park and Bronxdale (CD11),Summer 2020
2527,7.2,Fine particles (PM 2.5),Financial District (CD1),Annual Average 2022
2528,7.2,Fine particles (PM 2.5),Ridgewood - Forest Hills,Winter 2018-19
2529,7.2,Fine particles (PM 2.5),South Ozone Park and Howard Beach (CD10),Winter 2019-20
2530,7.2,Fine particles (PM 2.5),Upper West Side (CD7),Summer 2020
2531,7.2,Fine particles (PM 2.5),Pelham - Throgs Neck,Winter 2021-22
2532,7.2,Fine particles (PM 2.5),Northeast Bronx,Summer 2020
2533,7.2,Fine particles (PM 2.5),Queens,Annual Average 2017
2534,7.2,Asthma emergency department visits due to PM2.5,Greenwich Village - SoHo,2012-2014
2535,7.2,Fine particles (PM 2.5),Southeast Queens,Summer 2019
2536,7.2,Fine particles (PM 2.5),Central Harlem (CD10),Winter 2021-22
2537,7.2,Fine particles (PM 2.5),High Bridge - Morrisania,Summer 2020
2538,7.2,Fine particles (PM 2.5),Belmont and East Tremont (CD6),Annual Average 2019
2539,7.2,Fine particles (PM 2.5),Flushing - Clearview,Winter 2018-19
2540,7.2,Fine particles (PM 2.5),Greenpoint,Summer 2022
2541,7.2,Fine particles (PM 2.5),Long Island City - Astoria,Summer 2022
2542,7.2,Fine particles (PM 2.5),Fordham - Bronx Pk,Annual Average 2018
2543,7.2,Fine particles (PM 2.5),Morris Park and Bronxdale (CD11),Winter 2018-19
