,ESTIMATE,Demographic Category,Specific Category,Year,Age
1678,1.1,Sex,Male,2000,All ages
1679,1.1,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2008,All ages
1680,1.1,Sex and race,Male: White,2001,All ages
1681,1.1,Sex and age,Female: 35-44 years,2005,35-44 years
1682,1.1,Sex and age,Female: 25-34 years,2017,25-34 years
1683,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2017,All ages
1684,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2016,All ages
1685,1.1,Sex,Male,2002,All ages
1686,1.1,Sex and age,Female: 45-54 years,2012,45-54 years
1687,1.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2004,All ages
1688,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2016,All ages
1689,1.1,Age,55-64 years,2006,55-64 years
1690,1.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2005,All ages
1691,1.1,Sex,Male,2004,All ages
1692,1.1,Sex and race,Female: Black or African American,2015,All ages
1693,1.1,Age,15-24 years,2003,15-24 years
1694,1.1,Sex and age,Female: 35-44 years,2004,35-44 years
1695,1.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,1999,All ages
1696,1.1,Sex and race,Male: White,2011,All ages
1697,1.1,Sex and age,Male: 55-64 years,2010,55-64 years
1698,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2017,All ages
1699,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2015,All ages
1700,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2014,All ages
1701,1.1,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2012,All ages
1702,1.1,Sex and age,Female: 65-74 years,2018,65-74 years
1703,1.1,Sex,Male,2006,All ages
1704,1.1,Sex,Male,2005,All ages
1705,1.1,Age,15-24 years,2011,15-24 years
1706,1.1,Sex and race,Male: American Indian or Alaska Native,2015,All ages
1707,1.1,Age,35-44 years,2003,35-44 years
1708,1.1,Sex and age,Female: 15-24 years,2012,15-24 years
1709,1.1,Sex and age,Female: 35-44 years,2012,35-44 years
1710,1.1,Sex and race,Male: White,2012,All ages
1711,1.1,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2015,All ages
1712,1.1,Total,All persons,2009,All ages
1713,1.1,Sex,Female,2011,All ages
1714,1.1,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2012,All ages
1715,1.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2007,All ages
1716,1.1,Sex and race,Female: American Indian or Alaska Native,2008,All ages
1717,1.1,Sex and race,Female: American Indian or Alaska Native,2015,All ages
1718,1.1,Age,65-74 years,2010,65-74 years
1719,1.1,Sex,Male,2013,All ages
1720,1.1,Sex and race,Male: Black or African American,2005,All ages
1721,1.1,Sex and race,Male: Black or African American,2004,All ages
1722,1.1,Sex and race and Hispanic origin (single race),Female: Hispanic or Latino: All races,2018,All ages
1723,1.1,Sex and race,Female: White,2010,All ages
1724,1.1,Age,75-84 years,2018,75-84 years
1725,1.2,Sex and age,Male: 15-24 years,2006,15-24 years
1726,1.2,Sex and race,Male: White,2006,All ages
1727,1.2,Sex,Female,2003,All ages
1728,1.2,Sex and race,Male: White,2010,All ages
1729,1.2,Sex and race,Male: White,2009,All ages
1730,1.2,Sex and race,Male: White,2006,All ages
1731,1.2,Sex,Female,2006,All ages
1732,1.2,Sex,Male,1999,All ages
1733,1.2,Sex and race,Female: White,2010,All ages
1734,1.2,Age,55-64 years,2010,55-64 years
1735,1.2,Total,All persons,2001,All ages
1736,1.2,Age,35-44 years,2005,35-44 years
1737,1.2,Sex and age,Female: 85 years and over,2014,85 years and over
1738,1.2,Sex and age,Female: 85 years and over,2010,85 years and over
1739,1.2,Age,55-64 years,2009,55-64 years
1740,1.2,Sex and age,Female: 55-64 years,2010,55-64 years
1741,1.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2011,All ages
1742,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2003,All ages
1743,1.2,Sex and age,Female: 45-54 years,2002,45-54 years
1744,1.2,Age,25-34 years,2002,25-34 years
1745,1.2,Sex and age,Female: 25-34 years,2016,25-34 years
1746,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2014,All ages
1747,1.2,Age,45-54 years,2001,45-54 years
1748,1.2,Sex and age,Female: 15-24 years,2016,15-24 years
1749,1.2,Sex,Female,2013,All ages
1750,1.2,Age,25-34 years,2011,25-34 years
1751,1.2,Sex,Female,2006,All ages
1752,1.2,Sex and race,Female: American Indian or Alaska Native,2009,All ages
1753,1.2,Age,75-84 years,2015,75-84 years
1754,1.2,Sex and age,Male: 15-24 years,2012,15-24 years
1755,1.2,Sex and age,Male: 85 years and over,2017,85 years and over
1756,1.2,Sex and age,Female: 75-84 years,2018,75-84 years
1757,1.2,Sex and age,Male: 75-84 years,2015,75-84 years
1758,1.2,Age,55-64 years,2008,55-64 years
1759,1.2,Sex and race (single race),Male: White,2018,All ages
1760,1.2,Sex,Male,2003,All ages
1761,1.2,Sex,Male,2002,All ages
1762,1.2,Age,35-44 years,2005,35-44 years
1763,1.2,Sex and age,Female: 65-74 years,2017,65-74 years
1764,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2013,All ages
1765,,Sex and age,Male: 75-84 years,2000,75-84 years
1766,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2004,All ages
1767,1.2,Sex and race,Female: Asian or Pacific Islander,2003,All ages
1768,1.2,Age,65-74 years,2017,65-74 years
1769,1.2,Sex and race,Male: Black or African American,2006,All ages
1770,1.2,Sex,Male,2006,All ages
1771,1.2,Age,85 years and over,2017,85 years and over
1772,1.2,Sex,Male,2017,All ages
1773,1.2,Age,75-84 years,2016,75-84 years
1774,1.2,Sex and race,Female: White,2009,All ages
1775,1.2,Sex and race,Female: American Indian or Alaska Native,2014,All ages
1776,1.2,Age,65-74 years,2005,65-74 years
1777,1.2,Age,25-34 years,2006,25-34 years
1778,1.2,Sex and race,Female: White,2005,All ages
1779,1.2,Sex and race,Male: White,2018,All ages
1780,1.2,Age,45-54 years,2004,45-54 years
1781,1.2,Sex,Male,2015,All ages
1782,1.2,Age,35-44 years,2001,35-44 years
1783,,Sex and age,Male: 85 years and over,1999,85 years and over
1784,,Sex and age,Male: 85 years and over,2000,85 years and over
1785,,Sex and age,Male: 85 years and over,2001,85 years and over
1786,,Sex and age,Male: 85 years and over,2002,85 years and over
1787,,Sex and age,Male: 85 years and over,2003,85 years and over
1788,,Sex and age,Male: 85 years and over,2004,85 years and over
1789,,Sex and age,Male: 85 years and over,2005,85 years and over
1790,,Sex and age,Male: 85 years and over,2006,85 years and over
1791,1.2,Sex and race,Male: White,1999,All ages
1792,,Sex and age,Male: 85 years and over,2008,85 years and over
1793,1.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2007,All ages
1794,1.2,Sex and race,Male: American Indian or Alaska Native,2014,All ages
1795,,Sex and age,Male: 85 years and over,2011,85 years and over
1796,1.2,Age,65-74 years,2006,65-74 years
1797,1.2,Sex and age,Male: 55-64 years,2008,55-64 years
1798,1.2,Sex,Male,1999,All ages
1799,1.2,Sex and race,Male: Black or African American,2010,All ages
1800,1.2,Sex and age,Male: 65-74 years,2011,65-74 years
1801,1.2,Sex and age,Male: 65-74 years,2009,65-74 years
1802,,Sex and age,Female: Under 15 years,1999,Under 15 years
1803,,Sex and age,Female: Under 15 years,2000,Under 15 years
1804,,Sex and age,Female: Under 15 years,2001,Under 15 years
1805,,Sex and age,Female: Under 15 years,2002,Under 15 years
1806,,Sex and age,Female: Under 15 years,2003,Under 15 years
1807,1.2,Sex,Male,2003,All ages
1808,,Sex and age,Female: Under 15 years,2005,Under 15 years
1809,1.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2003,All ages
1810,1.2,Sex and age,Female: 25-34 years,2014,25-34 years
1811,1.2,Age,35-44 years,2004,35-44 years
1812,1.2,Sex and race,Male: White,2002,All ages
1813,1.2,Age,25-34 years,2005,25-34 years
1814,1.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2002,All ages
1815,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2013,All ages
1816,1.2,Sex,Male,2006,All ages
1817,1.2,Sex,Male,2015,All ages
1818,1.2,Age,65-74 years,2009,65-74 years
1819,1.2,Sex and age,Female: 35-44 years,2007,35-44 years
1820,1.2,Total,All persons,2012,All ages
1821,1.2,Sex,Male,2002,All ages
1822,1.2,Age,15-24 years,2010,15-24 years
1823,1.2,Sex and age,Male: 45-54 years,2004,45-54 years
1824,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2009,All ages
1825,1.2,Age,15-24 years,2005,15-24 years
1826,1.2,Age,15-24 years,2004,15-24 years
1827,1.2,Sex and age,Female: 55-64 years,2011,55-64 years
1828,1.2,Sex and age,Female: 65-74 years,2006,65-74 years
1829,1.2,Total,All persons,2001,All ages
1830,1.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2016,All ages
1831,1.2,Sex and race,Female: White,2011,All ages
1832,1.2,Sex and age,Male: 25-34 years,2008,25-34 years
1833,1.2,Sex and race,Male: White,2002,All ages
1834,1.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2005,All ages
1835,1.2,Sex,Female,2003,All ages
1836,1.2,Sex and race,Male: White,2013,All ages
1837,1.2,Age,45-54 years,2000,45-54 years
1838,1.2,Age,35-44 years,2004,35-44 years
1839,1.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2012,All ages
1840,1.2,Sex and race,Female: American Indian or Alaska Native,2006,All ages
1841,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2010,All ages
1842,1.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2009,All ages
1843,1.2,Sex and race,Female: Black or African American,2009,All ages
1844,1.2,Sex and race,Male: American Indian or Alaska Native,2017,All ages
1845,1.2,Sex and race,Female: White,2002,All ages
1846,1.2,Age,15-24 years,2009,15-24 years
1847,1.2,Age,25-34 years,2009,25-34 years
1848,1.2,Sex and age,Male: 75-84 years,2018,75-84 years
1849,1.2,Age,15-24 years,2014,15-24 years
1850,1.2,Sex and race,Male: Black or African American,2007,All ages
1851,1.2,Sex and race,Male: Black or African American,2006,All ages
1852,1.3,Age,55-64 years,2012,55-64 years
1853,1.3,Age,35-44 years,2007,35-44 years
1854,1.3,Sex,Female,2004,All ages
1855,1.3,Sex and race,Male: Asian or Pacific Islander,2011,All ages
1856,1.3,Sex,Male,2003,All ages
1857,1.3,Sex and age,Female: 25-34 years,2004,25-34 years
1858,1.3,Sex,Male,2014,All ages
1859,1.3,Age,35-44 years,2006,35-44 years
1860,1.3,Total,All persons,2004,All ages
1861,1.3,Sex and age,Female: 55-64 years,2013,55-64 years
1862,1.3,Sex and race,Female: Asian or Pacific Islander,2009,All ages
1863,1.3,Sex,Female,2004,All ages
1864,1.3,Sex and age,Female: 25-34 years,2013,25-34 years
1865,1.3,Sex and age,Female: 25-34 years,2004,25-34 years
1866,1.3,Sex and race,Female: White,2013,All ages
1867,1.3,Sex and age,Female: 15-24 years,2010,15-24 years
1868,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2010,All ages
1869,1.3,Sex and age,Female: 25-34 years,2003,25-34 years
1870,1.3,Sex,Male,2016,All ages
1871,1.3,Age,45-54 years,2005,45-54 years
1872,1.3,Sex and race,Female: White,2006,All ages
1873,1.3,Sex,Female,2007,All ages
1874,1.3,Sex and age,Male: 85 years and over,2009,85 years and over
1875,1.3,Sex,Male,2016,All ages
1876,1.3,Sex,Female,2007,All ages
1877,1.3,Sex and race,Male: Black or African American,2003,All ages
1878,1.3,Sex and race,Female: American Indian or Alaska Native,2013,All ages
1879,1.3,Sex and race,Male: White,2017,All ages
1880,1.3,Total,All persons,2004,All ages
1881,1.3,Age,15-24 years,2010,15-24 years
1882,1.3,Age,45-54 years,1999,45-54 years
1883,1.3,Total,All persons,2012,All ages
1884,1.3,Sex and race,Male: Asian or Pacific Islander,2013,All ages
1885,1.3,Sex and race,Female: Asian or Pacific Islander,2008,All ages
1886,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2012,All ages
1887,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2005,All ages
1888,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2009,All ages
1889,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2008,All ages
1890,1.3,Sex and race,Female: Asian or Pacific Islander,2005,All ages
1891,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2005,All ages
1892,1.3,Age,25-34 years,2012,25-34 years
1893,1.3,Age,85 years and over,2010,85 years and over
1894,1.3,Sex and race,Female: American Indian or Alaska Native,2011,All ages
1895,1.3,Sex and age,Male: 55-64 years,2009,55-64 years
1896,1.3,Sex and race,Male: American Indian or Alaska Native,2011,All ages
1897,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2006,All ages
1898,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2006,All ages
1899,1.3,Sex and race,Female: White,2008,All ages
1900,1.3,Sex and age,Female: 65-74 years,2010,65-74 years
1901,1.3,Sex and age,Female: 55-64 years,2003,55-64 years
1902,1.3,Sex and age,Female: 45-54 years,2000,45-54 years
1903,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2006,All ages
1904,1.3,Sex and age,Female: 15-24 years,2015,15-24 years
1905,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2010,All ages
1906,1.3,Sex and age,Male: 55-64 years,2005,55-64 years
1907,1.3,Sex and race,Male: Black or African American,2001,All ages
1908,1.3,Age,65-74 years,2016,65-74 years
1909,1.3,Sex and age,Male: 15-24 years,2002,15-24 years
1910,1.3,Sex and age,Male: 15-24 years,2001,15-24 years
1911,1.3,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2004,All ages
1912,1.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2003,All ages
1913,1.3,Sex and age,Male: 35-44 years,2003,35-44 years
1914,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2014,All ages
1915,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2007,All ages
1916,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2005,All ages
1917,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2003,All ages
1918,1.3,Sex and race,Female: Black or African American,2015,All ages
1919,1.3,Sex and race,Female: Black or African American,2010,All ages
1920,1.3,Sex,Male,2014,All ages
1921,1.3,Sex and age,Female: 45-54 years,2005,45-54 years
1922,1.3,Sex and race,Female: American Indian or Alaska Native,2009,All ages
1923,1.3,Sex and race,Male: Black or African American,2007,All ages
1924,1.3,Sex and race,Male: Black or African American,2005,All ages
1925,1.3,Sex and race,Male: White,2003,All ages
1926,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2008,All ages
1927,1.3,Sex,Male,2007,All ages
1928,1.3,Age,25-34 years,1999,25-34 years
1929,1.3,Sex and race,Male: American Indian or Alaska Native,2008,All ages
1930,1.3,Sex and age,Female: 55-64 years,2014,55-64 years
1931,1.3,Sex and age,Female: 35-44 years,2008,35-44 years
1932,1.3,Sex and age,Female: 35-44 years,2006,35-44 years
1933,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2000,All ages
1934,1.3,Age,25-34 years,2018,25-34 years
1935,1.3,Sex and age,Male: 65-74 years,2006,65-74 years
1936,,Sex and age,Female: 75-84 years,2000,75-84 years
1937,1.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2002,All ages
1938,1.3,Sex and age,Male: 45-54 years,2005,45-54 years
1939,1.3,Sex and age,Male: 35-44 years,2005,35-44 years
1940,1.3,Sex and race,Male: Black or African American,2008,All ages
1941,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2013,All ages
1942,1.3,Sex,Female,2014,All ages
1943,1.3,Sex and age,Male: 15-24 years,2007,15-24 years
1944,1.3,Sex,Female,2014,All ages
1945,1.3,Age,25-34 years,2000,25-34 years
1946,1.3,Age,45-54 years,2004,45-54 years
1947,1.3,Age,25-34 years,2006,25-34 years
1948,1.3,Sex and age,Male: 55-64 years,2002,55-64 years
1949,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2006,All ages
1950,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2012,All ages
1951,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2011,All ages
1952,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2009,All ages
1953,1.3,Sex and age,Female: 55-64 years,2010,55-64 years
1954,,Sex and age,Female: 85 years and over,1999,85 years and over
1955,,Sex and age,Female: 85 years and over,2000,85 years and over
1956,,Sex and age,Female: 85 years and over,2001,85 years and over
1957,1.3,Sex and race,Female: Black or African American,2011,All ages
1958,1.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2001,All ages
1959,,Sex and age,Female: 85 years and over,2004,85 years and over
1960,1.4,Sex and race,Male: Asian or Pacific Islander,2017,All ages
1961,1.4,Sex,Male,2000,All ages
1962,1.4,Sex,Male,1999,All ages
1963,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2010,All ages
1964,1.4,Age,25-34 years,2003,25-34 years
1965,1.4,Sex and age,Female: 75-84 years,2017,75-84 years
1966,1.4,Sex and age,Female: 55-64 years,2016,55-64 years
1967,1.4,Sex and age,Female: 55-64 years,2015,55-64 years
1968,1.4,Sex and age,Female: 65-74 years,2005,65-74 years
1969,1.4,Sex,Male,1999,All ages
1970,1.4,Sex and age,Male: 35-44 years,2011,35-44 years
1971,1.4,Sex and age,Female: 55-64 years,2000,55-64 years
1972,1.4,Age,45-54 years,2010,45-54 years
1973,1.4,Sex and age,Male: 55-64 years,2006,55-64 years
1974,1.4,Sex and age,Female: 15-24 years,2002,15-24 years
1975,1.4,Sex and age,Male: 85 years and over,2010,85 years and over
1976,1.4,Sex and age,Male: 85 years and over,2007,85 years and over
1977,1.4,Sex and age,Female: 15-24 years,2017,15-24 years
1978,1.4,Sex and age,Male: 75-84 years,2017,75-84 years
1979,1.4,Sex and age,Male: 75-84 years,2016,75-84 years
1980,1.4,Age,55-64 years,2007,55-64 years
1981,1.4,Age,45-54 years,2002,45-54 years
1982,1.4,Sex and age,Female: 55-64 years,2009,55-64 years
1983,1.4,Age,35-44 years,2012,35-44 years
1984,1.4,Age,15-24 years,2009,15-24 years
1985,1.4,Age,15-24 years,2005,15-24 years
1986,1.4,Age,15-24 years,2004,15-24 years
1987,1.4,Sex and age,Female: 15-24 years,2011,15-24 years
1988,1.4,Sex and race,Female: Asian or Pacific Islander,2012,All ages
1989,1.4,Total,All persons,2011,All ages
1990,1.4,Sex and age,Female: 35-44 years,2018,35-44 years
1991,1.4,Total,All persons,2011,All ages
1992,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2012,All ages
1993,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2011,All ages
1994,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2009,All ages
1995,1.4,Sex and race,Female: Asian or Pacific Islander,2006,All ages
1996,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2010,All ages
1997,1.4,Sex and race,Male: Asian or Pacific Islander,2000,All ages
1998,1.4,Sex and age,Female: 65-74 years,2007,65-74 years
1999,1.4,Sex,Female,1999,All ages
2000,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2018,All ages
2001,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2002,All ages
2002,1.4,Age,75-84 years,2017,75-84 years
2003,1.4,Sex and race,Female: American Indian or Alaska Native,2006,All ages
2004,1.4,Sex and race,Female: American Indian or Alaska Native,2005,All ages
2005,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2015,All ages
2006,1.4,Age,65-74 years,2018,65-74 years
2007,1.4,Sex and age,Male: 45-54 years,2007,45-54 years
2008,1.4,Sex and race and Hispanic origin (single race),Male: Not Hispanic or Latino: White,2018,All ages
2009,1.4,Sex and race,Male: White,2016,All ages
2010,1.4,Sex,Male,2007,All ages
2011,1.4,Total,All persons,2011,All ages
2012,1.4,Sex and age,Female: 35-44 years,2002,35-44 years
2013,1.4,Age,45-54 years,2005,45-54 years
2014,1.4,Age,45-54 years,2006,45-54 years
2015,1.4,Sex and race,Male: American Indian or Alaska Native,2012,All ages
2016,1.4,Age,75-84 years,2018,75-84 years
2017,1.4,Sex and age,Female: 35-44 years,2000,35-44 years
2018,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,1999,All ages
2019,1.4,Age,65-74 years,2007,65-74 years
2020,1.4,Sex,Male,2003,All ages
2021,1.4,Sex and age,Male: 35-44 years,2004,35-44 years
2022,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2006,All ages
2023,1.4,Sex and age,Male: 55-64 years,2013,55-64 years
2024,1.4,Sex and race,Male: White,2015,All ages
2025,1.4,Age,55-64 years,2003,55-64 years
2026,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2007,All ages
2027,1.4,Age,35-44 years,2007,35-44 years
2028,1.4,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2005,All ages
2029,1.4,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2004,All ages
2030,1.4,Sex and race,Female: American Indian or Alaska Native,2000,All ages
2031,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2005,All ages
2032,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2001,All ages
2033,1.4,Age,65-74 years,2011,65-74 years
2034,1.4,Sex and race,Male: Black or African American,1999,All ages
2035,1.4,Sex,Male,2013,All ages
2036,1.4,Age,25-34 years,2001,25-34 years
2037,1.4,Sex and age,Female: 45-54 years,2004,45-54 years
2038,1.4,Sex and age,Female: 35-44 years,2011,35-44 years
2039,1.4,Sex and age,Male: 45-54 years,2001,45-54 years
2040,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,1999,All ages
2041,1.4,Sex and age,Female: 55-64 years,2017,55-64 years
2042,1.4,Sex,Male,2013,All ages
2043,1.4,Sex and age,Male: 65-74 years,2007,65-74 years
2044,1.4,Sex and age,Female: 35-44 years,2013,35-44 years
2045,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2015,All ages
2046,1.4,Total,All persons,2011,All ages
2047,1.4,Sex and age,Male: 25-34 years,2007,25-34 years
2048,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2008,All ages
2049,1.4,Sex and race,Male: Asian or Pacific Islander,2014,All ages
2050,1.4,Age,35-44 years,2011,35-44 years
2051,1.4,Age,35-44 years,2008,35-44 years
2052,1.4,Age,25-34 years,2010,25-34 years
2053,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,1999,All ages
2054,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2004,All ages
2055,1.4,Sex and age,Female: 55-64 years,2018,55-64 years
2056,1.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2001,All ages
2057,1.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2011,All ages
2058,1.4,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2017,All ages
2059,1.4,Sex and age,Female: 25-34 years,2011,25-34 years
2060,1.4,Age,55-64 years,2013,55-64 years
2061,1.4,Sex and race,Female: White,2003,All ages
2062,1.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2017,All ages
2063,1.4,Sex and race,Male: Black or African American,2008,All ages
2064,1.4,Sex,Female,1999,All ages
2065,1.4,Sex and race,Female: White,2007,All ages
2066,1.5,Sex and race,Male: American Indian or Alaska Native,2014,All ages
2067,1.5,Sex and race,Male: Black or African American,2014,All ages
2068,1.5,Sex,Female,2005,All ages
2069,1.5,Sex and race,Male: Black or African American,2006,All ages
2070,,Sex and race,Male: American Indian or Alaska Native,1999,All ages
2071,,Sex and race,Male: American Indian or Alaska Native,2000,All ages
2072,,Sex and race,Male: American Indian or Alaska Native,2001,All ages
2073,1.5,Sex and age,Female: 45-54 years,2003,45-54 years
2074,1.5,Total,All persons,2002,All ages
2075,1.5,Sex and age,Female: 25-34 years,2012,25-34 years
2076,1.5,Sex and race,Male: Asian or Pacific Islander,1999,All ages
2077,1.5,Sex and age,Female: 55-64 years,2001,55-64 years
2078,1.5,Total,All persons,2010,All ages
2079,1.5,Sex and age,Male: 35-44 years,2001,35-44 years
2080,1.5,Sex and age,Male: 25-34 years,2011,25-34 years
2081,1.5,Sex and age,Male: 25-34 years,2012,25-34 years
2082,1.5,Sex and age,Female: 15-24 years,2003,15-24 years
2083,1.5,Age,45-54 years,2003,45-54 years
2084,1.5,Sex and age,Male: 85 years and over,2013,85 years and over
2085,1.5,Age,55-64 years,2012,55-64 years
2086,1.5,Age,55-64 years,2010,55-64 years
2087,1.5,Age,35-44 years,2000,35-44 years
2088,1.5,Age,55-64 years,2009,55-64 years
2089,1.5,Sex and race,Female: American Indian or Alaska Native,2012,All ages
2090,,Sex and race,Male: Asian or Pacific Islander,1999,All ages
2091,,Sex and race,Male: Asian or Pacific Islander,2000,All ages
2092,,Sex and race,Male: Asian or Pacific Islander,2001,All ages
2093,1.5,Age,25-34 years,2017,25-34 years
2094,,Sex and race,Male: Asian or Pacific Islander,2003,All ages
2095,,Sex and race,Male: Asian or Pacific Islander,2004,All ages
2096,1.5,Sex and age,Male: 25-34 years,2009,25-34 years
2097,1.5,Sex and race,Male: White,2007,All ages
2098,1.5,Sex and race,Female: Asian or Pacific Islander,2013,All ages
2099,1.5,Total,All persons,2010,All ages
2100,1.5,Total,All persons,2009,All ages
2101,1.5,Total,All persons,2005,All ages
2102,1.5,Sex and race,Female: Asian or Pacific Islander,2010,All ages
2103,1.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2015,All ages
2104,1.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2013,All ages
2105,1.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2008,All ages
2106,1.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2006,All ages
2107,1.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2007,All ages
2108,1.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2006,All ages
2109,1.5,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2016,All ages
2110,1.5,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2017,All ages
2111,1.5,Sex and race,Female: American Indian or Alaska Native,2007,All ages
2112,1.5,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2010,All ages
2113,1.5,Sex and age,Male: 25-34 years,2018,25-34 years
2114,1.5,Age,55-64 years,1999,55-64 years
2115,1.5,Total,All persons,2009,All ages
2116,1.5,Sex and age,Female: 55-64 years,2013,55-64 years
2117,1.5,Total,All persons,2005,All ages
